"COD_UBIC_C,N,11,0","DESC_LINEA,C,50","COD_VARIAN,N,11,0","ORDINAL,N,6,0","DESC_UBIC_,C,100","COD_CALLE1,N,11,0","COD_CALLE2,N,11,0","X,N,32,10","Y,N,32,10"
1,402,4585,8,MALVIN,7569,240,581831.105001809,6138254.30173668
1,2,7589,2,MALVIN,7569,240,581831.105001809,6138254.30173668
1,2,7590,9,MALVIN,7569,240,581831.105001809,6138254.30173668
1,2,7591,2,MALVIN,7569,240,581831.105001809,6138254.30173668
1,2,7592,10,MALVIN,7569,240,581831.105001809,6138254.30173668
1,2,7593,2,MALVIN,7569,240,581831.105001809,6138254.30173668
1,402,8100,10,MALVIN,7569,240,581831.105001809,6138254.30173668
1,G,8802,11,MALVIN,7569,240,581831.105001809,6138254.30173668
1,G,8803,2,MALVIN,7569,240,581831.105001809,6138254.30173668
2,402,8,1,MALVIN,7569,4983,581828.915095362,6138153.85366467
2,113,595,11,MALVIN,7569,4983,581828.915095362,6138153.85366467
2,113,602,1,MALVIN,7569,4983,581828.915095362,6138153.85366467
2,111,4581,1,MALVIN,7569,4983,581828.915095362,6138153.85366467
2,402,4584,1,MALVIN,7569,4983,581828.915095362,6138153.85366467
2,111,4588,1,MALVIN,7569,4983,581828.915095362,6138153.85366467
2,111,4589,15,MALVIN,7569,4983,581828.915095362,6138153.85366467
2,113,7705,1,MALVIN,7569,4983,581828.915095362,6138153.85366467
2,113,7706,10,MALVIN,7569,4983,581828.915095362,6138153.85366467
2,113,7902,1,MALVIN,7569,4983,581828.915095362,6138153.85366467
2,113,7903,5,MALVIN,7569,4983,581828.915095362,6138153.85366467
2,111,8079,9,MALVIN,7569,4983,581828.915095362,6138153.85366467
2,111,8394,1,MALVIN,7569,4983,581828.915095362,6138153.85366467
2,111,8395,13,MALVIN,7569,4983,581828.915095362,6138153.85366467
4,21,1802,4,OBELISCO,7572,597,576309.823965329,6138010.08925948
4,21,4419,4,OBELISCO,7572,597,576309.823965329,6138010.08925948
4,21,4421,4,OBELISCO,7572,597,576309.823965329,6138010.08925948
4,21,4423,6,OBELISCO,7572,597,576309.823965329,6138010.08925948
4,21,4425,6,OBELISCO,7572,597,576309.823965329,6138010.08925948
4,21,4427,4,OBELISCO,7572,597,576309.823965329,6138010.08925948
